SKU DA PLATAFORMA,SKU SÊNIOR,PLATAFORMA,,,SANDRINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUYCLOCK,,,,,,,,,,,,,,,,,,,,FECHAMENTO DE ESTOQUE E VENDA,,,
SKU DA BLING,,,,CD SP,,,CD MG,,,MELI SANDRINI SP,,,MELI SANDRINI MG,,,AMAZON SANDRINI SP,,,AMAZON SANDRINI MG,,,MAGALU SANDRINI SP,,,SHOPEE SPORTS SANDRINI SP,,,SHOPEE  MENSWEAR SANDRINI SP,,,DAFITI SANDRINI SP,,,NETSHOES,,,,CD SP,,,CD MG,,,MELI BUYCLOCK SP,,,MELI BUYCLOCK MG,,,MAGALU BUYCLOCKSP,,,AMAZON BUYCLOCK SP,,,SHOPEE BUYCLOCK SP,,,FINAL,,,
SKU COMUM,SKU SÊNIOR,,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS GERAL,é para colocar
2115NAO1P_FBA,,AMAZON BUYCLOCK SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,488,588,9,,,,488,588,9,sim
2115NBO1A,2115NBO1A,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602,,,,,186,193,65,0,0,0,,,,,,,,,,186,795,65,sim
2115TUS1P,2115TUS1P,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,0,0,0,,,,,,,,,,,,,0,5,0,sim
2115TWB1P,2115TWB1P,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,478,,,,,,,,,,,,,,,,,,,,0,478,0,sim
2115TWC1P,2115TWC1P,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,,254,254,13,0,0,0,,,,,,,254,461,13,sim
2115TWC1P_FBA,,AMAZON BUYCLOCK SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,61,3,,,,43,61,3,sim
2115TWO1P,2115TWO1P,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,,,,,,,,40,40,0,,,,,,,,,,40,300,0,sim
2115TWP1P,2115TWP1P,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,40,40,0,,,,,,,,,,40,182,0,sim
2115TWV1K,2115TWV1K,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486,,,,,25,25,1,,,,0,0,0,119,127,0,,,,144,638,1,sim
2115TXW1C,2115TXW1C,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,728,,,,,97,97,13,,,,0,0,0,,0,,,,,97,825,13,sim
2115UBE1A,2115UBE1A,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,,,,,71,71,0,,,,,,,,,,,,,71,260,0,sim
2117LFL1K,2117LFL1K,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812,,,,,16,17,10,,,,0,0,0,,0,,,,,16,829,10,sim
2315LAT1C,2315LAT1C,MELI BUYCLOCK SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,47,47,4,,,,0,0,0,,,,,,,47,47,4,sim
2415DW1A,2415DW/1A,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,0,2,0,sim
